id,value
id_0,27.1060058909
id_1,63.6211360259
id_2,20.687793467
id_3,27.8549361937
id_4,10.9439706162
id_5,32.9468450755
id_6,39.1129666096
id_7,15.859414214
id_8,47.4187355391
id_9,33.5603787357
id_10,39.3051000667
id_11,59.6057931893
id_12,34.8069471832
id_13,38.5572345474
id_14,25.0897745255
id_15,13.2361516201
id_16,50.1351255522
id_17,21.9480127563
id_18,17.7005597529
id_19,18.2315677808
id_20,14.3972564156
id_21,25.5896532084
id_22,37.0293734795
id_23,11.4441241071
id_24,60.1851062621
id_25,45.0598564051
id_26,28.3296178891
id_27,9.66255138116
id_28,29.6927376057
id_29,35.6694849175
id_30,16.0198231118
id_31,11.8072070021
id_32,16.9422926921
id_33,4.27835717428
id_34,18.5616058341
id_35,37.1117713253
id_36,20.2185436238
id_37,28.1034148057
id_38,5.72129003758
id_39,61.8742097068
id_40,47.1114059216
id_41,18.7062269106
id_42,50.4761832106
id_43,19.0775102293
id_44,44.5840802307
id_45,49.1085094544
id_46,59.5710381822
id_47,40.5165912304
id_48,52.0189518109
id_49,42.134082814
id_50,30.5643580882
id_51,23.9510816936
id_52,41.2059683473
id_53,26.0498991191
id_54,38.280871904
id_55,39.4192159322
id_56,24.9322668021
id_57,21.4680919207
id_58,36.210565593
id_59,30.8953783332
id_60,12.9694634427
id_61,23.4514998158
id_62,31.2952557109
id_63,55.7511240895
id_64,49.6864414971
id_65,26.8433249722
id_66,40.2381415207
id_67,54.0934515603
id_68,27.7682774049
id_69,36.8941414704
id_70,65.4130148252
id_71,51.4013563977
id_72,43.9994430889
id_73,11.0955486627
id_74,11.665503863
id_75,34.4302278112
id_76,61.8895781557
id_77,4.74551414755
id_78,41.9257736787
id_79,38.8586836546
id_80,7.58392664614
id_81,21.0174127271
id_82,8.46189774445
id_83,33.4952343773
id_84,9.62582985308
id_85,5.67903587129
id_86,16.0068710324
id_87,11.6798498361
id_88,14.6986791114
id_89,25.9342307815
id_90,29.4679854619
id_91,10.456032484
id_92,14.1624767574
id_93,9.68935700806
id_94,35.2776920743
id_95,17.5423889669
id_96,14.0883695589
id_97,7.575460708
id_98,9.92765668125
id_99,5.77389272696
id_100,12.8974331489
id_101,19.3183599871
id_102,9.2739745917
id_103,5.0681155533
id_104,15.0652561942
id_105,35.8301061611
id_106,26.8295676318
id_107,10.2465137299
id_108,16.6843886458
id_109,17.4910198819
id_110,13.3463005581
id_111,14.2614717559
id_112,13.7785490959
id_113,26.5799854808
id_114,22.811740049
id_115,15.2620446341
id_116,11.9359195975
id_117,43.0821083739
id_118,29.2846105154
id_119,3.09496294387
id_120,2.68912209073
id_121,12.2617640133
id_122,15.3214398524
id_123,14.5000304821
id_124,5.39514970468
id_125,26.5508131634
id_126,22.7199784844
id_127,13.0746422408
id_128,18.3142530248
id_129,16.7179978682
id_130,3.88634921597
id_131,35.843367383
id_132,16.0319110236
id_133,24.8769795571
id_134,23.7799572461
id_135,21.4723850757
id_136,11.8428389344
id_137,20.7143999139
id_138,81.6430710401
id_139,61.2787543123
id_140,27.9430899288
id_141,15.3698876832
id_142,24.7230619806
id_143,9.25885589315
id_144,13.3619654188
id_145,10.2856611887
id_146,21.2717525387
id_147,7.05094372322
id_148,13.7213882457
id_149,16.7542284063
id_150,50.4190950285
id_151,18.8457376752
id_152,23.5027276525
id_153,14.3547976828
id_154,15.6683607914
id_155,27.6355153933
id_156,18.0475962861
id_157,34.0819361896
id_158,5.27950206102
id_159,16.625006804
id_160,43.9729597747
id_161,18.265439428
id_162,58.1080426243
id_163,19.3832819209
id_164,37.5119853787
id_165,25.2357571979
id_166,20.9294436494
id_167,1.36204205381
id_168,67.1757869055
id_169,18.1739527206
id_170,17.9114394451
id_171,71.6757650371
id_172,18.9305601101
id_173,4.24028913907
id_174,24.1207039076
id_175,1.66478657052
id_176,7.80370594147
id_177,20.5027796402
id_178,20.7590631787
id_179,19.8526132497
id_180,42.9918982286
id_181,27.0680055839
id_182,29.1250984846
id_183,13.8942179085
id_184,7.40740631872
id_185,41.732930299
id_186,36.3616289721
id_187,31.9382297608
id_188,15.4321577938
id_189,22.360234073
id_190,13.5597967098
id_191,14.0881685528
id_192,33.0057501486
id_193,75.0925763027
id_194,30.1383981864
id_195,12.0852618756
id_196,62.9498478079
id_197,17.2405120275
id_198,19.3808609377
id_199,23.578513386
id_200,152.671987275
id_201,26.7377307988
id_202,59.4993979964
id_203,6.99476933868
id_204,60.8265432076
id_205,33.1240510539
id_206,15.695526908
id_207,15.8642761427
id_208,65.8511836629
id_209,15.0664988063
id_210,28.9478634508
id_211,71.7815241417
id_212,21.1663514955
id_213,76.5493721801
id_214,39.2037547904
id_215,77.2738074791
id_216,103.468928669
id_217,73.4267116612
id_218,28.3009216877
id_219,18.9848314986
id_220,32.3331304468
id_221,53.5289186531
id_222,28.5390009923
id_223,40.6339961093
id_224,42.2747520421
id_225,7.06163778996
id_226,4.7464661877
id_227,74.3210397706
id_228,26.9232547949
id_229,1.34227278318
id_230,39.5314107528
id_231,14.7651363452
id_232,20.7286156601
id_233,5.56535642971
id_234,13.2115963831
id_235,20.5640187298
id_236,13.0458008486
id_237,1.67350116149
id_238,22.657821121
id_239,1.54982509178
